session_key,trait,reason,assigned,inferred,scenario_id,profile_id
bcfc_anxious_perfectionist_resource_conflict_r1,N,"order_effect>0.20,model_range>0.44",0.9,0.65,resource_conflict,anxious_perfectionist
baseline_withdrawn_critic_resource_conflict_r1,C,model_range>0.43,0.4,0.675,resource_conflict,withdrawn_critic
baseline_withdrawn_critic_resource_conflict_r1,E,"model_range>0.49,parse_errors=2",0.2,0.35,resource_conflict,withdrawn_critic
bcfc_assertive_leader_resource_conflict_r1,E,,0.9,0.8,resource_conflict,assertive_leader
bcfc_assertive_leader_crisis_management_r1,C,model_range>0.32,0.8,0.825,crisis_management,assertive_leader
bcfc_assertive_leader_crisis_management_r1,A,model_range>0.64,0.4,0.33499999999999996,crisis_management,assertive_leader
bcfc_withdrawn_critic_resource_conflict_r1,C,"order_effect>0.15,model_range>0.33",0.4,0.675,resource_conflict,withdrawn_critic
bcfc_withdrawn_critic_resource_conflict_r1,N,model_range>0.47,0.8,0.55,resource_conflict,withdrawn_critic
baseline_assertive_leader_crisis_management_r1,E,model_range>0.34,0.9,0.775,crisis_management,assertive_leader
baseline_assertive_leader_crisis_management_r1,A,model_range>0.60,0.4,0.365,crisis_management,assertive_leader
baseline_creative_rebel_crisis_management_r1,C,model_range>0.39,0.3,0.7,crisis_management,creative_rebel
baseline_creative_rebel_crisis_management_r1,E,model_range>0.70,0.7,0.8,crisis_management,creative_rebel
baseline_creative_rebel_crisis_management_r1,N,model_range>0.65,0.4,0.72,crisis_management,creative_rebel
baseline_withdrawn_critic_crisis_management_r1,N,model_range>0.57,0.8,0.45,crisis_management,withdrawn_critic
bcfc_creative_rebel_crisis_management_r1,O,model_range>0.35,0.9,0.275,crisis_management,creative_rebel
bcfc_creative_rebel_crisis_management_r1,N,"order_effect>0.15,model_range>0.55",0.4,0.5,crisis_management,creative_rebel
bcfc_creative_rebel_resource_conflict_r1,O,model_range>0.68,0.9,0.85,resource_conflict,creative_rebel
bcfc_creative_rebel_resource_conflict_r1,N,model_range>0.35,0.4,0.2,resource_conflict,creative_rebel
baseline_assertive_leader_resource_conflict_r1,C,model_range>0.36,0.8,0.75,resource_conflict,assertive_leader
baseline_creative_rebel_resource_conflict_r1,O,model_range>0.57,0.9,0.825,resource_conflict,creative_rebel
baseline_creative_rebel_resource_conflict_r1,A,model_range>0.75,0.3,0.2,resource_conflict,creative_rebel
baseline_creative_rebel_resource_conflict_r1,N,"model_range>0.45,parse_errors=2",0.4,0.1,resource_conflict,creative_rebel
bcfc_withdrawn_critic_crisis_management_r1,C,model_range>0.42,0.4,0.35,crisis_management,withdrawn_critic
bcfc_withdrawn_critic_crisis_management_r1,N,model_range>0.33,0.8,0.775,crisis_management,withdrawn_critic
